설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자
신한은행 사거리 롯데리아 앞,대전광역시,유성구,대전광역시 유성구 반석로 9   (반석동),대전광역시 유성구 반석동 640-1 ,127.3134081,36.3916401,접이식그늘막,신한은행 사거리 롯데리아 앞,2019,3.1,4,대전광역시 유성구,042-611-2499,2024-09-20
하나은행 사거리 과일가게 앞,대전광역시,유성구,대전광역시 유성구 지족로 368   (지족동),대전광역시 유성구 지족동 986-1 ,127.3170157,36.3865192,접이식그늘막,하나은행 사거리 과일가게 앞,2019,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
하나은행 삼거리 CU편의점 앞,대전광역시,유성구,대전광역시 유성구 지족로 365   (지족동),대전광역시 유성구 지족동 984-2 ,127.3167505,36.3866507,접이식그늘막,하나은행 삼거리 CU편의점 앞,2019,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
올리브영 앞,대전광역시,유성구, ,대전광역시 유성구 반석동 676 ,127.311888,36.3916113,접이식그늘막,올리브영 앞,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
C&U편의점 앞,대전광역시,유성구,대전광역시 유성구 북유성대로 지하303   (반석동),대전광역시 유성구 반석동 691 ,127.3133581,36.3919029,접이식그늘막,C&U편의점 앞,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
외삼초등학교 앞,대전광역시,유성구, ,대전광역시 유성구 반석동 676 ,127.3111486,36.3929277,접이식그늘막,외삼초등학교 앞,2021,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
외삼초등학교 건너편,대전광역시,유성구, ,대전광역시 유성구 반석동 676 ,127.3112481,36.3935072,접이식그늘막,외삼초등학교 건너편,2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
노은3동 주민센터 앞,대전광역시,유성구, ,대전광역시 유성구 지족동 1062-1 ,127.3083284,36.3866708,스마트그늘막,노은3동 주민센터 앞,2021,3.2,5,대전광역시 유성구,042-611-2499,2024-09-20
우체국 앞,대전광역시,유성구, ,대전광역시 유성구 지족동 676 ,127.3114135,36.3920405,스마트그늘막,우체국 앞,2021,5,5,대전광역시 유성구,042-611-2499,2024-09-20
반석역3번출구 앞,대전광역시,유성구, ,대전광역시 유성구 반석동 6369 ,127.3142243,36.3921529,스마트그늘막,반석역3번출구 앞,2021,5,5,대전광역시 유성구,042-611-2499,2024-09-20
온누리장로교회,대전광역시,유성구, ,대전광역시 유성구 반석동 89-14 ,127.3116536,36.3959397,접이식그늘막,,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
반석역1호선,대전광역시,유성구,대전광역시 유성구 북유성대로 지하303   (반석동),대전광역시 유성구 반석동 685 ,127.3116537,36.3959602,접이식그늘막,횡단보도,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
반석 고등학교 삼거리 ,대전광역시,유성구, ,대전광역시 유성구 지족동 999 ,127.31286,36.38846,접이식그늘막,반석 고등학교 삼거리 ,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
반석동 7단지 건너편 신호등 앞,대전광역시,유성구, ,대전광역시 유성구 반석동 672 ,127.3085,36.39301,접이식그늘막,반석동 7단지 건너편 신호등 앞,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
외삼네거리  반석마을 708동앞 신호등,대전광역시,유성구, ,대전광역시 유성구 반석동 000 ,127.31202,36.39581,접이식그늘막,외삼네거리  반석마을 708동앞 신호등,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
반석동 308 부근 신호등,대전광역시,유성구,대전광역시 유성구 반석로 51   (반석동),대전광역시 유성구 반석동 308 ,127.30885,36.39109,접이식그늘막,반석동 308 부근 신호등,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
웰지빌딩앞,대전광역시,유성구,대전광역시 유성구 반석로 14   (반석동),대전광역시 유성구 반석동 638-5 ,127.3129903,36.3919126,접이식그늘막,웰지빌딩앞,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
연구단지네거리 대덕테크비즈센터 앞,대전광역시,유성구, ,대전광역시 유성구 도룡동 409 ,127.3784395,36.38589,접이식그늘막,연구단지네거리 대덕테크비즈센터 앞,2018,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
연구단지네거리 대덕연구단지 우체국 앞,대전광역시,유성구, ,대전광역시 유성구 도룡동 409 ,127.3784465,36.3854729,접이식그늘막,연구단지네거리 대덕연구단지 우체국 앞,2018,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
과학박물관  전광판 앞,대전광역시,유성구, ,대전광역시 유성구 가정동 52-13 ,127.3792102,36.3747433,접이식그늘막,과학박물관  전광판 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
승적골 삼거리 문정로 설렁탕 앞,대전광역시,유성구, ,대전광역시 유성구 신성동 108-2 ,127.3538189,36.3855635,접이식그늘막,승적골 삼거리 문정로 설렁탕 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
롯데시티호텔 앞,대전광역시,유성구, ,대전광역시 유성구 도룡동 4-25 ,127.3933182,36.3758178,접이식그늘막,롯데시티호텔 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
대전TJB 뒷편,대전광역시,유성구, ,대전광역시 유성구 도룡동 4-25 ,127.3936792,36.3756022,접이식그늘막,대전TJB 뒷편,2021,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
자운카센터 앞,대전광역시,유성구, ,대전광역시 유성구 자운동 26-3 ,127.3500419,36.3938136,접이식그늘막,자운카센터 앞,2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
한빛탑 앞,대전광역시,유성구, ,대전광역시 유성구 도룡동 465-21 ,127.387639,36.3743535,접이식그늘막,한빛탑 앞,2021,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
한빛대교 앞,대전광역시,유성구, ,대전광역시 유성구 도룡동 582 ,127.387748,36.374143,접이식그늘막,한빛대교 앞,2021,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
시외버스정류장 옆,대전광역시,유성구,대전광역시 유성구 대덕대로 942   (화암동),대전광역시 유성구 화암동 160-5 ,127.3784235,36.413004,접이식그늘막,시외버스정류장 옆,2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
대전자운중학교,대전광역시,유성구,대전광역시 유성구 자운로97번길 356   (신봉동),대전광역시 유성구 신봉동 208 ,127.3388622,36.4126184,접이식그늘막,대전자운중학교,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
한국화학연구원앞 ,대전광역시,유성구,대전광역시 유성구 가정로 141   (장동),대전광역시 유성구 장동 100 ,127.3619024,36.3888564,접이식그늘막,한국화학연구원앞 ,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
대전 신세계 아트앤사이언스,대전광역시,유성구,대전광역시 유성구 엑스포로 1   (도룡동),대전광역시 유성구 도룡동 3-1 ,127.3621,36.3843,스마트그늘막,대전 신세계 아트앤사이언스,2022,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
KT&G 앞 ,대전광역시,유성구, ,대전광역시 유성구 신성동 301 ,127.3465,36.3842,접이식그늘막,KT&G 앞 ,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
조이마루앞,대전광역시,유성구,대전광역시 유성구 엑스포로 87   (도룡동),대전광역시 유성구 도룡동 3-8 ,127.3898864,36.3753747,접이식그늘막,조이마루앞,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
컨벤션 제2전시관,대전광역시,유성구,대전광역시 유성구 엑스포로 87   (도룡동),대전광역시 유성구 도룡동 3-8 ,127.3898596,36.3753704,접이식그늘막,컨벤션 제2전시관,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
켄밴션1전시관,대전광역시,유성구,대전광역시 유성구 엑스포로 107   (도룡동),대전광역시 유성구 도룡동 4-19 ,127.3917773,36.3752365,접이식그늘막,켄밴션1전시관,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
TJB 대전방송국 앞 ,대전광역시,유성구, ,대전광역시 유성구 도룡동 4-25 ,127.3934054,36.3777243,스마트그늘막,TJB 대전방송국 앞 ,2023,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
막시모 맞은편,대전광역시,유성구, ,대전광역시 유성구 자운동 564 ,127.3532,36.396,접이식그늘막,막시모 맞은편,2024,3.3,4,대전광역시 유성구,042-611-2499,2024-09-20
주식회사셀바스헬스케어 앞 횡단보도,대전광역시,유성구, ,대전광역시 유성구 신성동 500 ,127.3533,36.3959,접이식그늘막,주식회사셀바스헬스케어 앞 횡단보도,2024,3.3,4,대전광역시 유성구,042-611-2499,2024-09-20
연구개발특구 진흥재단 앞 횡단보도,대전광역시,유성구, ,대전광역시 유성구 도룡동 4-25 ,127.3932,36.3755,접이식그늘막,연구개발특구 진흥재단 앞 횡단보도,2024,3.3,4,대전광역시 유성구,042-611-2499,2024-09-20
컨벤션센터네거리 연구개발특구 진흥재단 앞 횡단보도,대전광역시,유성구, ,대전광역시 유성구 도룡동 4-25 ,127.3933,36.3746,접이식그늘막,컨벤션센터네거리 연구개발특구 진흥재단 앞 횡단보도,2024,3.3,4,대전광역시 유성구,042-611-2499,2024-09-20
골프존조이마루 앞 횡단보도,대전광역시,유성구, ,대전광역시 유성구 도룡동 4-25 ,127.3905,36.3758,접이식그늘막,골프존조이마루 앞 횡단보도,2024,3.3,4,대전광역시 유성구,042-611-2499,2024-09-20
대덕대학교 정문 버스정류장 옆,대전광역시,유성구, ,대전광역시 유성구 장동 13-2 ,127.3627,36.3902,접이식그늘막,대덕대학교 정문 버스정류장 옆,2024,3.3,4,대전광역시 유성구,042-611-2499,2024-09-20
한국에너지기술연구원 앞,대전광역시,유성구, ,대전광역시 유성구 장동 82 ,127.3589,36.3851,접이식그늘막,한국에너지기술연구원 앞,2024,3.3,4,대전광역시 유성구,042-611-2499,2024-09-20
전민동 행정복지센터,대전광역시,유성구,대전광역시 유성구 유성대로 1719 (전민동),대전광역시 유성구 전민동 462-6 ,127.3976198,36.3997809,접이식그늘막,전민동 행정복지센터,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
엑스포코아 앞,대전광역시,유성구, ,대전광역시 유성구 전민동 465 ,127.4050826,36.3997824,접이식그늘막,엑스포코아 앞,2019,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
전민성당 앞 횡단보도,대전광역시,유성구, ,대전광역시 유성구 전민동 465 ,127.4050828,36.399518,접이식그늘막,전민성당 앞 횡단보도,2019,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
전민평생학습원 옆,대전광역시,유성구, ,대전광역시 유성구 문지동 668 ,127.405097,36.3947579,접이식그늘막,전민평생학습원 옆,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
엑수포아파트 407동 건너편,대전광역시,유성구, ,대전광역시 유성구 전민동 271-5 ,127.4047693,36.3963251,접이식그늘막,엑수포아파트 407동 건너편,2020,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
전민중학교 서측 횡단보도 앞,대전광역시,유성구, ,대전광역시 유성구 전민동 466-4 ,127.4050636,36.4015863,접이식그늘막,전민중학교 서측 횡단보도 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
GS편의점 앞,대전광역시,유성구, ,대전광역시 유성구 전민동 905 ,127.4002377,36.3995539,접이식그늘막,GS편의점 앞,2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
세종아파트 정문앞,대전광역시,유성구,대전광역시 유성구 유성대로 1719 (전민동),대전광역시 유성구 전민동 462-6 ,127.400601,36.400002,접이식그늘막,세종아파트 정문앞,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
스타벅스앞,대전광역시,유성구, ,대전광역시 유성구 전민동 523-4 ,127.397358,36.3996548,접이식그늘막,스타벅스앞,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
현대자동차 건너편 (교통섬)앞,대전광역시,유성구, ,대전광역시 유성구 전민동 464-7 ,127.405,36.3968,접이식그늘막,현대자동차 건너편 (교통섬)앞,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
세종아파트 101동앞건너편,대전광역시,유성구, ,대전광역시 유성구 전민동 464-3 ,127.405,36.4017,접이식그늘막,세종아파트 101동앞건너편,2017,3,4,대전광역시 유성구,042-611-2499,2024-09-20
원촌사거리 교통섬,대전광역시,유성구, ,대전광역시 유성구 원촌동 69-1 ,127.4063,36.3796,접이식그늘막,원촌사거리 교통섬,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
세종청구나래아파트 101동앞,대전광역시,유성구, ,대전광역시 유성구 전민동 791-34 ,127.4046922,36.4045149,접이식그늘막,세종청구나래아파트 101동앞,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
엑스포코아 교통섬,대전광역시,유성구, ,대전광역시 유성구 전민동 394-16 ,127.4048,36.3996,접이식그늘막,엑스포코아 교통섬,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
엑스포코아 교통섬,대전광역시,유성구, ,대전광역시 유성구 전민동 462-11 ,127.4048,36.3997,스마트그늘막,엑스포코아 교통섬,2023,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
미래로네거리 한마음아파트,대전광역시,유성구, ,대전광역시 유성구 송강동 555 ,127.3858719,36.4286581,접이식그늘막,미래로네거리 한마음아파트,2019,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
송강초등학교 앞,대전광역시,유성구, ,대전광역시 유성구 송강동 550 ,127.3843864,36.4331706,접이식그늘막,송강초등학교 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
정우마트 앞,대전광역시,유성구, ,대전광역시 유성구 송강동 556 ,127.3842981,36.4329769,접이식그늘막,정우마트 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
두리초등학교 앞,대전광역시,유성구, ,대전광역시 유성구 송강동 165-11 ,127.3826064,36.4294724,접이식그늘막,두리초등학교 앞,2020,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
(구)국민은행 앞,대전광역시,유성구, ,대전광역시 유성구 송강동 555 ,127.3884512,36.4340163,접이식그늘막,(구)국민은행 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
북부여성가족원 앞,대전광역시,유성구, ,대전광역시 유성구 송강동 555 ,127.3874472,36.4319758,접이식그늘막,북부여성가족원 앞,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
구즉초등학교 정문 건너편,대전광역시,유성구, ,대전광역시 유성구 봉산동 305-5 ,127.38665,36.43962,접이식그늘막,구즉초등학교 정문 건너편,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
송강초등학교 정문 ,대전광역시,유성구, ,대전광역시 유성구 송강동 546 ,127.382247,36.43811,접이식그늘막,송강초등학교 정문 ,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
송강초등학교 후문 신호등,대전광역시,유성구,대전광역시 유성구 송강로42번길 6 (송강동),대전광역시 유성구 송강동 196 ,127.38431,36.43463,접이식그늘막,송강초등학교 후문 신호등,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
봉산동 휴먼시아 2단지  상가(행복하이퍼 마트 앞),대전광역시,유성구, ,대전광역시 유성구 봉산동 1007 ,127.3857684,36.4380805,접이식그늘막,봉산동 휴먼시아 2단지  상가(행복하이퍼 마트 앞),2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
구즉초등학교 앞,대전광역시,유성구,대전광역시 유성구 구룡달전로 34 (봉산동),대전광역시 유성구 봉산동 796-16 ,127.3826766,36.4408342,스마트그늘막,구즉초등학교 앞,2023,3.4,5,대전광역시 유성구,042-611-2499,2024-09-20
도미로피자앞  횡단보도,대전광역시,유성구, ,대전광역시 유성구 송강동 204-7 ,127.3856404,36.4283182,스마트그늘막,도미로피자앞  횡단보도,2023,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
서한이다음 107동앞,대전광역시,유성구, ,대전광역시 유성구 둔곡동 480 ,127.3636,36.4561,접이식그늘막,서한이다음 107동앞,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
우미림 아파트 107동앞,대전광역시,유성구, ,대전광역시 유성구 둔곡동 466 ,127.3641,36.4542,접이식그늘막,우미림 아파트 107동앞,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
"둔곡 초,중 통합학교 앞",대전광역시,유성구, ,대전광역시 유성구 구룡동 산 1-2 ,127.3636,36.4528,접이식그늘막,"둔곡 초,중 통합학교 앞",2024,3.3,4,대전광역시 유성구,042-611-2499,2024-09-20
서한이다음 2단지 202동 앞,대전광역시,유성구, ,대전광역시 유성구 둔곡동 480 ,127.3634,36.4529,접이식그늘막,서한이다음 2단지 202동 앞,2024,3.3,4,대전광역시 유성구,042-611-2499,2024-09-20
둔곡동 초입사거리 교통섬,대전광역시,유성구, ,대전광역시 유성구 둔곡동 480 ,127.3634,36.4516,접이식그늘막,둔곡동 초입사거리 교통섬,2024,3.3,4,대전광역시 유성구,042-611-2499,2024-09-20
서한이다음2단지 204동 앞,대전광역시,유성구, ,대전광역시 유성구 둔곡동 480 ,127.3623,36.4518,접이식그늘막,서한이다음2단지 204동 앞,2024,3.3,4,대전광역시 유성구,042-611-2499,2024-09-20
송강중학교 건너편 횡단보도,대전광역시,유성구, ,대전광역시 유성구 봉산동 305-8 ,127.3815,36.4381,접이식그늘막,송강중학교 건너편 횡단보도,2024,3.3,4,대전광역시 유성구,042-611-2499,2024-09-20
미래로네거리 창배기공원 앞,대전광역시,유성구, ,대전광역시 유성구 관평동 1293 ,127.3861221,36.4283099,접이식그늘막,미래로네거리 창배기공원 앞,2018,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
관평동 805번지 앞,대전광역시,유성구, ,대전광역시 유성구 관평동 805 ,127.3886193,36.4272531,접이식그늘막,관평동 805번지 앞,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
관평중학교 뒤,대전광역시,유성구, ,대전광역시 유성구 관평동 902 ,127.3888475,36.4246826,접이식그늘막,관평중학교 뒤,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
배울네거리 912 앞 코너,대전광역시,유성구, ,대전광역시 유성구 관평동 912 ,127.3874632,36.4218983,접이식그늘막,배울네거리 912 앞 코너,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
대덕테크노밸리 908동 앞,대전광역시,유성구, ,대전광역시 유성구 관평동 1286 ,127.3870874,36.4220031,접이식그늘막,대덕테크노밸리 908동 앞,2019,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
미래로네거리 교통섬,대전광역시,유성구, ,대전광역시 유성구 관평동 1293 ,127.3862098,36.4284884,접이식그늘막,미래로네거리 교통섬,2020,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
하이마트 옆 공원 앞,대전광역시,유성구, ,대전광역시 유성구 관평동 1286 ,127.3887853,36.4275493,접이식그늘막,하이마트 옆 공원 앞,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
한화꿈에그린유치원 앞,대전광역시,유성구, ,대전광역시 유성구 관평동 1283 ,127.3895146,36.421206,접이식그늘막,한화꿈에그린유치원 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
배울네거리,대전광역시,유성구, ,대전광역시 유성구 관평동 673 ,127.3872724,36.4216211,접이식그늘막,배울네거리,2021,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
배울네거리,대전광역시,유성구, ,대전광역시 유성구 관평동 673 ,127.3869448,36.4217529,접이식그늘막,배울네거리,2021,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
하늘소망교회 옆,대전광역시,유성구, ,대전광역시 유성구 용산동 672 ,127.3972756,36.4221276,접이식그늘막,하늘소망교회 옆,2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
용산동  관세청옆 신호등,대전광역시,유성구, ,대전광역시 유성구 용산동 605 ,127.40575,36.42348,접이식그늘막,용산동  관세청옆 신호등,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
현대아울렛 인근 신호등 ,대전광역시,유성구,대전광역시 유성구 테크노중앙로 123 (용산동),대전광역시 유성구 용산동 608 ,127.39805,36.42307,스마트그늘막,현대아울렛 인근 신호등 ,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
CU 편의점 앞,대전광역시,유성구, ,대전광역시 유성구 탑립동 946 ,127.4124345,36.416844,접이식그늘막,CU 편의점 앞,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
삼성디지텔 앞,대전광역시,유성구,대전광역시 유성구 테크노중앙로 39 (관평동),대전광역시 유성구 관평동 1371 ,127.3903,36.4271,접이식그늘막,삼성디지텔 앞,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
테크노2단지앞 횡단보도,대전광역시,유성구, ,대전광역시 유성구 용산동 352-2 ,127.3940894,36.4163592,접이식그늘막,테크노2단지앞 횡단보도,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
현대아울렛인근,대전광역시,유성구,대전광역시 유성구 테크노중앙로 123 (용산동),대전광역시 유성구 용산동 608 ,127.3981476,36.4220076,접이식그늘막,횡단보도,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
푸로지오하임2단지 206동앞,대전광역시,유성구, ,대전광역시 유성구 용산동 672 ,127.3980618,36.4214206,접이식그늘막,푸로지오하임2단지 206동앞,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
KB국민등행 도안지점 앞,대전광역시,유성구, ,대전광역시 유성구 봉명동 1028-1 ,127.3406009,36.3459507,접이식그늘막,KB국민등행 도안지점 앞,2017,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
베스킨라빈스 앞,대전광역시,유성구, ,대전광역시 유성구 봉명동 1066 ,127.3405617,36.3457505,접이식그늘막,베스킨라빈스 앞,2017,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
도안마을 107동 앞 ,대전광역시,유성구, ,대전광역시 유성구 봉명동 1027-1 ,127.340676,36.3488039,접이식그늘막,도안마을 107동 앞 ,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
봉명동 1058-2,대전광역시,유성구,대전광역시 유성구 봉명서로 61-14 (봉명동),대전광역시 유성구 봉명동 1029-1 ,127.3407665,36.3481388,접이식그늘막,봉명동 1058-2,2018,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
어울림하트 1202동 앞,대전광역시,유성구, ,대전광역시 유성구 원신흥동 609 ,127.3410091,36.3324216,접이식그늘막,어울림하트 1202동 앞,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
용반들공원 앞,대전광역시,유성구, ,대전광역시 유성구 봉명동 1058 ,127.3411141,36.3521041,접이식그늘막,용반들공원 앞,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
온천역 1번출구 교통섬,대전광역시,유성구, ,대전광역시 유성구 봉명동 1058 ,127.3417281,36.3533613,접이식그늘막,온천역 1번출구 교통섬,2018,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
용반네거리 횡단보도 앞,대전광역시,유성구, ,대전광역시 유성구 봉명동 1058 ,127.3479443,36.3517009,접이식그늘막,용반네거리 횡단보도 앞,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
휴먼시아 104동 앞,대전광역시,유성구, ,대전광역시 유성구 봉명동 1026-6 ,127.340929,36.351548,접이식그늘막,휴먼시아 104동 앞,2019,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
휴먼시아 1010동 앞,대전광역시,유성구, ,대전광역시 유성구 원신흥동 493-1 ,127.3383895,36.3383652,접이식그늘막,휴먼시아 1010동 앞,2019,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
도안12단지 정문 앞,대전광역시,유성구, ,대전광역시 유성구 원신흥동 598 ,127.3410137,36.3334439,접이식그늘막,도안12단지 정문 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
도안12단지 정문 건너편 헤어아이수 앞,대전광역시,유성구, ,대전광역시 유성구 원신흥동 598 ,127.3407869,36.3335758,접이식그늘막,도안12단지 정문 건너편 헤어아이수 앞,2020,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
원신흥동 도서관 앞,대전광역시,유성구, ,대전광역시 유성구 원신흥동 577 ,127.3379712,36.3380472,접이식그늘막,원신흥동 도서관 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
원신흥들삼거리,대전광역시,유성구, ,대전광역시 유성구 원신흥동 582 ,127.3470519,36.3420882,접이식그늘막,원신흥들삼거리,2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
",원신흥들 삼거리",대전광역시,유성구, ,대전광역시 유성구 원신흥동 582 ,127.3471591,36.3418391,접이식그늘막,",원신흥들 삼거리",2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
계룡네거리 신호등 교통섬,대전광역시,유성구, ,대전광역시 유성구 봉명동 1062 ,127.34561,36.35497,접이식그늘막,계룡네거리 신호등 교통섬,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
옥녀동네거리 LH 공사앞,대전광역시,유성구, ,대전광역시 유성구 원신흥동 609 ,127.3319689,36.3323457,접이식그늘막,옥녀동네거리 LH 공사앞,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
작은내수변공원,대전광역시,유성구,대전광역시 유성구 봉명서로 3-11 (봉명동),대전광역시 유성구 봉명동 1055-1 ,127.3401,36.3432,스마트그늘막,작은내수변공원,2022,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
천년마트 인근  횡단보드,대전광역시,유성구, ,대전광역시 유성구 원신흥동 583 ,127.3445356,36.3402607,접이식그늘막,천년마트 인근  횡단보드,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
천년마트 건너편,대전광역시,유성구, ,대전광역시 유성구 원신흥동 583 ,127.3444605,36.3402262,접이식그늘막,천년마트 건너편,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
작은내수변공원,대전광역시,유성구,대전광역시 유성구 원신흥북로 26 (원신흥동),대전광역시 유성구 원신흥동 492 ,127.3442,36.3417,스마트그늘막,작은내수변공원,2024,4.5,3,대전광역시 유성구,042-611-2499,2024-09-20
원신흥네거리,대전광역시,유성구, ,대전광역시 유성구 원신흥동 589-1 ,127.3487,36.3398,스마트그늘막,원신흥네거리,2024,4.5,3,대전광역시 유성구,042-611-2499,2024-09-20
